indicator,group,state,subgroup,week,week_label,value,lowci,highci,confidence_interval,quartile_range
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,6,June 4 - June 9,27.6,25.8,29.6,25.8 - 29.6,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,6,June 4 - June 9,28.2,26.8,29.7,26.8 - 29.7,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,6,June 4 - June 9,18.9,18.1,19.7,18.1 - 19.7,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,6,June 4 - June 9,36.9,33.6,40.4,33.6 - 40.4,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,6,June 4 - June 9,31,28.9,33.1,28.9 - 33.1,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,6,June 4 - June 9,33.6,32.2,35.1,32.2 - 35.1,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,6,June 4 - June 9,27.3,26.4,28.2,26.4 - 28.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,6,June 4 - June 9,44.7,41.2,48.2,41.2 - 48.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,6,June 4 - June 9,36.8,34.7,38.8,34.7 - 38.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,6,June 4 - June 9,39.3,37.8,40.7,37.8 - 40.7,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,6,June 4 - June 9,30.2,29.3,31.1,29.3 - 31.1,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,7,June 11 - June 16,31.4,27.7,35.3,27.7 - 35.3,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,7,June 11 - June 16,27.5,25.6,29.5,25.6 - 29.5,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,7,June 11 - June 16,28.4,26.9,29.9,26.9 - 29.9,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,7,June 11 - June 16,17.9,17,18.9,17.0 - 18.9,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,7,June 11 - June 16,37.7,33.6,41.9,33.6 - 41.9,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,7,June 11 - June 16,32.5,30.6,34.5,30.6 - 34.5,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,7,June 11 - June 16,34.5,33.1,36,33.1 - 36.0,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,7,June 11 - June 16,26.6,25.7,27.6,25.7 - 27.6,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,7,June 11 - June 16,43.7,39.7,47.8,39.7 - 47.8,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,7,June 11 - June 16,37.4,35.3,39.5,35.3 - 39.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,7,June 11 - June 16,39.3,37.7,40.9,37.7 - 40.9,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,7,June 11 - June 16,29.4,28.5,30.4,28.5 - 30.4,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,8,June 18 - June 23,31.4,28,34.9,28.0 - 34.9,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,8,June 18 - June 23,28.8,27.3,30.3,27.3 - 30.3,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,8,June 18 - June 23,28.6,27.3,29.8,27.3 - 29.8,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,8,June 18 - June 23,18.2,17.3,19,17.3 - 19.0,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,8,June 18 - June 23,36.6,33.3,39.9,33.3 - 39.9,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,8,June 18 - June 23,32.7,31.1,34.4,31.1 - 34.4,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,8,June 18 - June 23,33.7,32.1,35.2,32.1 - 35.2,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,8,June 18 - June 23,26,25,27,25.0 - 27.0,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,8,June 18 - June 23,43.6,39.9,47.3,39.9 - 47.3,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,8,June 18 - June 23,38.1,36.5,39.6,36.5 - 39.6,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,8,June 18 - June 23,39.1,37.6,40.7,37.6 - 40.7,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,8,June 18 - June 23,29.2,28.1,30.3,28.1 - 30.3,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,9,June 25 - June 30,37.1,33.2,41.2,33.2 - 41.2,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,9,June 25 - June 30,28.7,27,30.5,27.0 - 30.5,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,9,June 25 - June 30,30,28.9,31,28.9 - 31.0,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,9,June 25 - June 30,19.4,18.5,20.3,18.5 - 20.3,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,9,June 25 - June 30,41,37.1,44.9,37.1 - 44.9,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,9,June 25 - June 30,33.5,32.1,35,32.1 - 35.0,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,9,June 25 - June 30,36.4,35.4,37.3,35.4 - 37.3,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,9,June 25 - June 30,26.9,25.9,27.9,25.9 - 27.9,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,9,June 25 - June 30,46.9,42.9,51,42.9 - 51.0,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,9,June 25 - June 30,38.7,37,40.5,37.0 - 40.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,9,June 25 - June 30,41.8,40.7,43,40.7 - 43.0,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,9,June 25 - June 30,30.3,29.3,31.4,29.3 - 31.4,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,10,July 2 - July 7,38.3,34.5,42.1,34.5 - 42.1,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,10,July 2 - July 7,29.1,28,30.3,28.0 - 30.3,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,10,July 2 - July 7,31.2,30.2,32.2,30.2 - 32.2,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,10,July 2 - July 7,19.9,19.2,20.5,19.2 - 20.5,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,10,July 2 - July 7,40.7,37.4,44.2,37.4 - 44.2,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,10,July 2 - July 7,34.9,33.2,36.6,33.2 - 36.6,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,10,July 2 - July 7,37,35.8,38.2,35.8 - 38.2,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,10,July 2 - July 7,28.3,27.6,29.1,27.6 - 29.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,10,July 2 - July 7,48.4,44.8,52,44.8 - 52.0,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,10,July 2 - July 7,40.7,39.3,42.2,39.3 - 42.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,10,July 2 - July 7,42.2,41,43.4,41.0 - 43.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,10,July 2 - July 7,31.7,30.9,32.5,30.9 - 32.5,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,11,July 9 - July 14,34.9,30.1,39.9,30.1 - 39.9,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,11,July 9 - July 14,28.6,27.1,30.1,27.1 - 30.1,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,11,July 9 - July 14,32.3,31,33.6,31.0 - 33.6,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,11,July 9 - July 14,21.6,20.6,22.6,20.6 - 22.6,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,11,July 9 - July 14,44,38.4,49.6,38.4 - 49.6,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,11,July 9 - July 14,34.6,32.9,36.2,32.9 - 36.2,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,11,July 9 - July 14,39.3,38.1,40.6,38.1 - 40.6,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,11,July 9 - July 14,30.6,29.7,31.5,29.7 - 31.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,11,July 9 - July 14,49.2,43.7,54.7,43.7 - 54.7,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,11,July 9 - July 14,39.4,37.7,41.1,37.7 - 41.1,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,11,July 9 - July 14,44.6,43.3,46,43.3 - 46.0,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,11,July 9 - July 14,34.4,33.4,35.3,33.4 - 35.3,
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,12,July 16 - July 21,38.4,34.1,42.8,34.1 - 42.8,
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,12,July 16 - July 21,31.4,29.6,33.2,29.6 - 33.2,
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,12,July 16 - July 21,33,31.6,34.4,31.6 - 34.4,
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,12,July 16 - July 21,22.2,21.2,23.3,21.2 - 23.3,
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,12,July 16 - July 21,42,38.4,45.6,38.4 - 45.6,
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,12,July 16 - July 21,36.4,34.5,38.3,34.5 - 38.3,
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,12,July 16 - July 21,38.1,36.9,39.2,36.9 - 39.2,
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,12,July 16 - July 21,32.2,31.1,33.2,31.1 - 33.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,12,July 16 - July 21,47.3,43.3,51.4,43.3 - 51.4,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,12,July 16 - July 21,42.2,40.3,44.2,40.3 - 44.2,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,12,July 16 - July 21,43.3,42,44.5,42.0 - 44.5,
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,12,July 16 - July 21,35.7,34.6,36.8,34.6 - 36.8,
