,indicator,group,state,subgroup,week,week_label,value,lowci,highci,confidence_interval,quartile_range
29,Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,25.6,21.4,30.2,21.4 - 30.2,24.1 - 28.7
30,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,20,14.9,26.1,14.9 - 26.1,16.5 - 20.7
31,Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,20.6,17.3,24.1,17.3 - 24.1,16.5 - 20.7
32,Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,23.3,19.6,27.2,19.6 - 27.2,22.2 - 24.0
33,Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,26.4,22.1,31,22.1 - 31.0,24.1 - 28.7
34,Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,16.5,13.7,19.6,13.7 - 19.6,16.5 - 20.7
35,Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,22.1,18.3,26.4,18.3 - 26.4,20.8 - 22.1
36,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,23.2,19.4,27.4,19.4 - 27.4,22.2 - 24.0
37,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,28.1,24.1,32.4,24.1 - 32.4,24.1 - 28.7
38,Symptoms of Depressive Disorder,By State,Maine,Maine,1,Apr 23 - May 5,19.5,16,23.5,16.0 - 23.5,16.5 - 20.7
39,Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,Apr 23 - May 5,20.9,17.9,24.1,17.9 - 24.1,20.8 - 22.1
40,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,Apr 23 - May 5,25.9,22.7,29.4,22.7 - 29.4,24.1 - 28.7
41,Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,Apr 23 - May 5,25.5,22,29.4,22.0 - 29.4,24.1 - 28.7
42,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,Apr 23 - May 5,20.4,17.7,23.4,17.7 - 23.4,16.5 - 20.7
43,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,Apr 23 - May 5,22.9,18.7,27.6,18.7 - 27.6,22.2 - 24.0
44,Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,Apr 23 - May 5,21,17.9,24.5,17.9 - 24.5,20.8 - 22.1
45,Symptoms of Depressive Disorder,By State,Montana,Montana,1,Apr 23 - May 5,18.2,14.9,21.8,14.9 - 21.8,16.5 - 20.7
46,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,Apr 23 - May 5,19.1,15.3,23.3,15.3 - 23.3,16.5 - 20.7
47,Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,Apr 23 - May 5,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0
48,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,Apr 23 - May 5,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7
49,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,Apr 23 - May 5,23.6,20.4,27,20.4 - 27.0,22.2 - 24.0
50,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,Apr 23 - May 5,22.4,18.3,26.9,18.3 - 26.9,22.2 - 24.0
51,Symptoms of Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7
52,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,Apr 23 - May 5,21.1,17.1,25.6,17.1 - 25.6,20.8 - 22.1
53,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,Apr 23 - May 5,17,13.7,20.7,13.7 - 20.7,16.5 - 20.7
54,Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,Apr 23 - May 5,21.2,18.2,24.5,18.2 - 24.5,20.8 - 22.1
55,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,Apr 23 - May 5,20.8,16.4,25.7,16.4 - 25.7,20.8 - 22.1
56,Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,Apr 23 - May 5,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
57,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,Apr 23 - May 5,24.7,21.6,28.1,21.6 - 28.1,24.1 - 28.7
58,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,Apr 23 - May 5,24.5,19.9,29.7,19.9 - 29.7,24.1 - 28.7
59,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,Apr 23 - May 5,21.6,17.9,25.7,17.9 - 25.7,20.8 - 22.1
60,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,Apr 23 - May 5,17.5,13,22.7,13.0 - 22.7,16.5 - 20.7
61,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,Apr 23 - May 5,22.2,17.2,27.8,17.2 - 27.8,22.2 - 24.0
62,Symptoms of Depressive Disorder,By State,Texas,Texas,1,Apr 23 - May 5,24.4,21.1,27.9,21.1 - 27.9,24.1 - 28.7
63,Symptoms of Depressive Disorder,By State,Utah,Utah,1,Apr 23 - May 5,22.9,20,26,20.0 - 26.0,22.2 - 24.0
64,Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,Apr 23 - May 5,20.7,15.9,26.3,15.9 - 26.3,16.5 - 20.7
65,Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,Apr 23 - May 5,21.5,18,25.3,18.0 - 25.3,20.8 - 22.1
66,Symptoms of Depressive Disorder,By State,Washington,Washington,1,Apr 23 - May 5,22.1,19.7,24.7,19.7 - 24.7,20.8 - 22.1
67,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,Apr 23 - May 5,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0
68,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,Apr 23 - May 5,22,19.2,25,19.2 - 25.0,20.8 - 22.1
69,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,Apr 23 - May 5,18.9,15.3,22.9,15.3 - 22.9,16.5 - 20.7
70,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,Apr 23 - May 5,30.8,30,31.7,30.0 - 31.7,
71,Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,Apr 23 - May 5,40.2,38.1,42.4,38.1 - 42.4,
72,Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,Apr 23 - May 5,34.4,32.6,36.1,32.6 - 36.1,
73,Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,Apr 23 - May 5,34.1,32.1,36.2,32.1 - 36.2,
74,Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,Apr 23 - May 5,31,29,33.1,29.0 - 33.1,
75,Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,Apr 23 - May 5,24.9,23.6,26.3,23.6 - 26.3,
76,Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,Apr 23 - May 5,16.4,14.8,18.1,14.8 - 18.1,
77,Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,Apr 23 - May 5,14.6,11.5,18.2,11.5 - 18.2,
78,Symptoms of Anxiety Disorder,By Gender,United States,Male,1,Apr 23 - May 5,26.1,24.7,27.5,24.7 - 27.5,
79,Symptoms of Anxiety Disorder,By Gender,United States,Female,1,Apr 23 - May 5,35.4,34.5,36.3,34.5 - 36.3,
80,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,Apr 23 - May 5,36.3,33.4,39.2,33.4 - 39.2,
81,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,Apr 23 - May 5,29,28.2,29.9,28.2 - 29.9,
82,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,Apr 23 - May 5,32.8,30.3,35.5,30.3 - 35.5,
83,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,Apr 23 - May 5,26.3,23.6,29.1,23.6 - 29.1,
84,Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,Apr 23 - May 5,38.2,34.3,42.3,34.3 - 42.3,
85,Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,37.3,32.4,42.4,32.4 - 42.4,
86,Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,30.6,29,32.3,29.0 - 32.3,
87,Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,33.5,32,35.1,32.0 - 35.1,
88,Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,27,26.3,27.8,26.3 - 27.8,
89,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,Apr 23 - May 5,25.6,20.7,30.9,20.7 - 30.9,21.7 - 27.8
90,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,Apr 23 - May 5,27.7,24.8,30.7,24.8 - 30.7,21.7 - 27.8
91,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,Apr 23 - May 5,32.3,28,36.8,28.0 - 36.8,31.7 - 37.0
92,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,33.7,28.2,39.6,28.2 - 39.6,31.7 - 37.0
93,Symptoms of Anxiety Disorder,By State,California,California,1,Apr 23 - May 5,30.8,28.2,33.5,28.2 - 33.5,30.4 - 31.6
94,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,32.6,29.2,36.2,29.2 - 36.2,31.7 - 37.0
95,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,34.9,30,40,30.0 - 40.0,31.7 - 37.0
96,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,29.9,25.5,34.6,25.5 - 34.6,27.9 - 30.3
97,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,31.4,27.9,35.1,27.9 - 35.1,30.4 - 31.6
98,Symptoms of Anxiety Disorder,By State,Florida,Florida,1,Apr 23 - May 5,32.6,29.7,35.6,29.7 - 35.6,31.7 - 37.0
99,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,31.9,28.1,35.9,28.1 - 35.9,31.7 - 37.0
100,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,32.3,27.1,37.8,27.1 - 37.8,31.7 - 37.0
101,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,26.9,23.7,30.2,23.7 - 30.2,21.7 - 27.8
102,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,31.1,27,35.4,27.0 - 35.4,30.4 - 31.6
103,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,31.8,27.5,36.4,27.5 - 36.4,31.7 - 37.0
104,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,22.5,19,26.2,19.0 - 26.2,21.7 - 27.8
105,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,26.4,22,31.2,22.0 - 31.2,21.7 - 27.8
106,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,31.6,28.1,35.3,28.1 - 35.3,30.4 - 31.6
107,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,34.4,29.7,39.3,29.7 - 39.3,31.7 - 37.0
108,Symptoms of Anxiety Disorder,By State,Maine,Maine,1,Apr 23 - May 5,29.5,25.9,33.3,25.9 - 33.3,27.9 - 30.3
109,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,Apr 23 - May 5,27.7,24.6,31.1,24.6 - 31.1,21.7 - 27.8
110,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,Apr 23 - May 5,37,33.3,40.7,33.3 - 40.7,31.7 - 37.0
111,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,Apr 23 - May 5,32.5,28.6,36.7,28.6 - 36.7,31.7 - 37.0
112,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,Apr 23 - May 5,28.5,25.2,32,25.2 - 32.0,27.9 - 30.3
113,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,Apr 23 - May 5,30.3,24.7,36.3,24.7 - 36.3,27.9 - 30.3
114,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,Apr 23 - May 5,30.4,25.8,35.4,25.8 - 35.4,30.4 - 31.6
115,Symptoms of Anxiety Disorder,By State,Montana,Montana,1,Apr 23 - May 5,22.8,19.6,26.3,19.6 - 26.3,21.7 - 27.8
116,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,Apr 23 - May 5,24.2,20.6,28,20.6 - 28.0,21.7 - 27.8
117,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,Apr 23 - May 5,31.4,27.3,35.7,27.3 - 35.7,30.4 - 31.6
118,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,Apr 23 - May 5,31.3,27.1,35.7,27.1 - 35.7,30.4 - 31.6
119,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,Apr 23 - May 5,31.4,28.2,34.7,28.2 - 34.7,30.4 - 31.6
120,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,Apr 23 - May 5,27.9,23.9,32.2,23.9 - 32.2,27.9 - 30.3
121,Symptoms of Anxiety Disorder,By State,New York,New York,1,Apr 23 - May 5,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0
122,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,Apr 23 - May 5,30,25.1,35.3,25.1 - 35.3,27.9 - 30.3
123,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,Apr 23 - May 5,21.7,18.3,25.5,18.3 - 25.5,21.7 - 27.8
124,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,Apr 23 - May 5,31.1,27.4,35.1,27.4 - 35.1,30.4 - 31.6
125,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,Apr 23 - May 5,28.6,24.9,32.4,24.9 - 32.4,27.9 - 30.3
126,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,Apr 23 - May 5,31.5,28,35.1,28.0 - 35.1,30.4 - 31.6
127,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,Apr 23 - May 5,31,27.5,34.7,27.5 - 34.7,30.4 - 31.6
128,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,Apr 23 - May 5,27.6,23.4,32,23.4 - 32.0,21.7 - 27.8
129,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,Apr 23 - May 5,27.8,24,31.7,24.0 - 31.7,21.7 - 27.8
130,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,Apr 23 - May 5,22.1,17.3,27.6,17.3 - 27.6,21.7 - 27.8
131,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,Apr 23 - May 5,28.2,22.8,34,22.8 - 34.0,27.9 - 30.3
132,Symptoms of Anxiety Disorder,By State,Texas,Texas,1,Apr 23 - May 5,29.7,25.9,33.7,25.9 - 33.7,27.9 - 30.3
133,Symptoms of Anxiety Disorder,By State,Utah,Utah,1,Apr 23 - May 5,28.9,24.9,33.1,24.9 - 33.1,27.9 - 30.3
134,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,Apr 23 - May 5,30.6,25.6,35.8,25.6 - 35.8,30.4 - 31.6
135,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,Apr 23 - May 5,28.5,25.4,31.8,25.4 - 31.8,27.9 - 30.3
136,Symptoms of Anxiety Disorder,By State,Washington,Washington,1,Apr 23 - May 5,30.6,27.7,33.7,27.7 - 33.7,30.4 - 31.6
137,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,Apr 23 - May 5,28.8,24,33.9,24.0 - 33.9,27.9 - 30.3
138,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,Apr 23 - May 5,27.1,24.1,30.2,24.1 - 30.2,21.7 - 27.8
139,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,Apr 23 - May 5,24.9,21,29.2,21.0 - 29.2,21.7 - 27.8
140,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,Apr 23 - May 5,35.9,35,36.8,35.0 - 36.8,
141,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1,Apr 23 - May 5,46.8,44.3,49.3,44.3 - 49.3,
142,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1,Apr 23 - May 5,39.6,37.7,41.5,37.7 - 41.5,
143,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1,Apr 23 - May 5,38.9,37.2,40.7,37.2 - 40.7,
144,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1,Apr 23 - May 5,35.8,34,37.7,34.0 - 37.7,
145,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1,Apr 23 - May 5,28.9,27.6,30.3,27.6 - 30.3,
146,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1,Apr 23 - May 5,21.5,19.3,23.7,19.3 - 23.7,
147,Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1,Apr 23 - May 5,21.1,15.6,27.5,15.6 - 27.5,
148,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,1,Apr 23 - May 5,31,29.6,32.3,29.6 - 32.3,
149,Symptoms of Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,1,Apr 23 - May 5,40.7,39.7,41.6,39.7 - 41.6,
150,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,Apr 23 - May 5,42.7,39.7,45.7,39.7 - 45.7,
151,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,Apr 23 - May 5,33.6,32.7,34.4,32.7 - 34.4,
152,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,Apr 23 - May 5,38.9,36.4,41.4,36.4 - 41.4,
153,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,Apr 23 - May 5,31.9,28.5,35.4,28.5 - 35.4,
154,Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,Apr 23 - May 5,43.9,39.8,48.1,39.8 - 48.1,
155,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,45.4,40.3,50.5,40.3 - 50.5,
156,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,36.7,35.2,38.2,35.2 - 38.2,
157,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,38.5,36.9,40,36.9 - 40.0,
158,Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,30.7,29.8,31.5,29.8 - 31.5,
159,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,Apr 23 - May 5,30.3,24.8,36.2,24.8 - 36.2,25.6 - 33.3
160,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,Apr 23 - May 5,31.5,28.8,34.4,28.8 - 34.4,25.6 - 33.3
161,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1,Apr 23 - May 5,36.4,32.3,40.7,32.3 - 40.7,34.8 - 36.7
162,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,38,33.1,43.1,33.1 - 43.1,36.8 - 41.4
163,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1,Apr 23 - May 5,37.4,34.2,40.6,34.2 - 40.6,36.8 - 41.4
164,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,35.9,32.3,39.7,32.3 - 39.7,34.8 - 36.7
165,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,40.2,35.3,45.3,35.3 - 45.3,36.8 - 41.4
166,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,34.7,30.4,39.3,30.4 - 39.3,33.4 - 34.7
167,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,37.6,34.1,41.3,34.1 - 41.3,36.8 - 41.4
168,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1,Apr 23 - May 5,36.8,33.9,39.8,33.9 - 39.8,36.8 - 41.4
169,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,36.2,31.8,40.7,31.8 - 40.7,34.8 - 36.7
170,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,37,31.4,42.9,31.4 - 42.9,36.8 - 41.4
171,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,33.3,29.9,36.8,29.9 - 36.8,25.6 - 33.3
172,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,36.6,32.7,40.7,32.7 - 40.7,34.8 - 36.7
173,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,37.8,33.5,42.4,33.5 - 42.4,36.8 - 41.4
174,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,28.2,24.6,32.1,24.6 - 32.1,25.6 - 33.3
175,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,32.5,28.4,36.9,28.4 - 36.9,25.6 - 33.3
176,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,36.4,32.5,40.4,32.5 - 40.4,34.8 - 36.7
177,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,38.9,34.3,43.7,34.3 - 43.7,36.8 - 41.4
178,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1,Apr 23 - May 5,34.3,30.6,38.1,30.6 - 38.1,33.4 - 34.7
179,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,1,Apr 23 - May 5,32.9,29.3,36.6,29.3 - 36.6,25.6 - 33.3
180,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,1,Apr 23 - May 5,40.6,36.9,44.4,36.9 - 44.4,36.8 - 41.4
