indicator,group,state,subgroup,week,week_label,value,lowci,highci,confidence_interval,quartile_range
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,Apr 23 - May 5,25.5,22,29.4,22.0 - 29.4,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,Apr 23 - May 5,20.4,17.7,23.4,17.7 - 23.4,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,Apr 23 - May 5,22.9,18.7,27.6,18.7 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,Apr 23 - May 5,21,17.9,24.5,17.9 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Montana,Montana,1,Apr 23 - May 5,18.2,14.9,21.8,14.9 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,Apr 23 - May 5,19.1,15.3,23.3,15.3 - 23.3,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,Apr 23 - May 5,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,Apr 23 - May 5,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,Apr 23 - May 5,23.6,20.4,27,20.4 - 27.0,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,Apr 23 - May 5,22.4,18.3,26.9,18.3 - 26.9,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,Apr 23 - May 5,21.1,17.1,25.6,17.1 - 25.6,20.8 - 22.1
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,Apr 23 - May 5,17,13.7,20.7,13.7 - 20.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,Apr 23 - May 5,21.2,18.2,24.5,18.2 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,Apr 23 - May 5,20.8,16.4,25.7,16.4 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,Apr 23 - May 5,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,Apr 23 - May 5,24.7,21.6,28.1,21.6 - 28.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,Apr 23 - May 5,24.5,19.9,29.7,19.9 - 29.7,24.1 - 28.7
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,Apr 23 - May 5,21.6,17.9,25.7,17.9 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,Apr 23 - May 5,17.5,13,22.7,13.0 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,Apr 23 - May 5,22.2,17.2,27.8,17.2 - 27.8,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Texas,Texas,1,Apr 23 - May 5,24.4,21.1,27.9,21.1 - 27.9,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Utah,Utah,1,Apr 23 - May 5,22.9,20,26,20.0 - 26.0,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,Apr 23 - May 5,20.7,15.9,26.3,15.9 - 26.3,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,Apr 23 - May 5,21.5,18,25.3,18.0 - 25.3,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Washington,Washington,1,Apr 23 - May 5,22.1,19.7,24.7,19.7 - 24.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,Apr 23 - May 5,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,Apr 23 - May 5,22,19.2,25,19.2 - 25.0,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,Apr 23 - May 5,18.9,15.3,22.9,15.3 - 22.9,16.5 - 20.7
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,Apr 23 - May 5,25.6,20.7,30.9,20.7 - 30.9,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,Apr 23 - May 5,27.7,24.8,30.7,24.8 - 30.7,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,Apr 23 - May 5,32.3,28,36.8,28.0 - 36.8,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,33.7,28.2,39.6,28.2 - 39.6,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,California,California,1,Apr 23 - May 5,30.8,28.2,33.5,28.2 - 33.5,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,32.6,29.2,36.2,29.2 - 36.2,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,34.9,30,40,30.0 - 40.0,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,29.9,25.5,34.6,25.5 - 34.6,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,31.4,27.9,35.1,27.9 - 35.1,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Florida,Florida,1,Apr 23 - May 5,32.6,29.7,35.6,29.7 - 35.6,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,31.9,28.1,35.9,28.1 - 35.9,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,32.3,27.1,37.8,27.1 - 37.8,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,26.9,23.7,30.2,23.7 - 30.2,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,31.1,27,35.4,27.0 - 35.4,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,31.8,27.5,36.4,27.5 - 36.4,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,22.5,19,26.2,19.0 - 26.2,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,26.4,22,31.2,22.0 - 31.2,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,31.6,28.1,35.3,28.1 - 35.3,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,34.4,29.7,39.3,29.7 - 39.3,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Maine,Maine,1,Apr 23 - May 5,29.5,25.9,33.3,25.9 - 33.3,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,Apr 23 - May 5,27.7,24.6,31.1,24.6 - 31.1,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,Apr 23 - May 5,37,33.3,40.7,33.3 - 40.7,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,Apr 23 - May 5,32.5,28.6,36.7,28.6 - 36.7,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,Apr 23 - May 5,28.5,25.2,32,25.2 - 32.0,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,Apr 23 - May 5,30.3,24.7,36.3,24.7 - 36.3,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,Apr 23 - May 5,30.4,25.8,35.4,25.8 - 35.4,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Montana,Montana,1,Apr 23 - May 5,22.8,19.6,26.3,19.6 - 26.3,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,Apr 23 - May 5,24.2,20.6,28,20.6 - 28.0,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,Apr 23 - May 5,31.4,27.3,35.7,27.3 - 35.7,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,Apr 23 - May 5,31.3,27.1,35.7,27.1 - 35.7,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,Apr 23 - May 5,31.4,28.2,34.7,28.2 - 34.7,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,Apr 23 - May 5,27.9,23.9,32.2,23.9 - 32.2,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,New York,New York,1,Apr 23 - May 5,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,Apr 23 - May 5,30,25.1,35.3,25.1 - 35.3,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,Apr 23 - May 5,21.7,18.3,25.5,18.3 - 25.5,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,Apr 23 - May 5,31.1,27.4,35.1,27.4 - 35.1,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,Apr 23 - May 5,28.6,24.9,32.4,24.9 - 32.4,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,Apr 23 - May 5,31.5,28,35.1,28.0 - 35.1,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,Apr 23 - May 5,31,27.5,34.7,27.5 - 34.7,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,Apr 23 - May 5,27.6,23.4,32,23.4 - 32.0,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,Apr 23 - May 5,27.8,24,31.7,24.0 - 31.7,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,Apr 23 - May 5,22.1,17.3,27.6,17.3 - 27.6,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,Apr 23 - May 5,28.2,22.8,34,22.8 - 34.0,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Texas,Texas,1,Apr 23 - May 5,29.7,25.9,33.7,25.9 - 33.7,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Utah,Utah,1,Apr 23 - May 5,28.9,24.9,33.1,24.9 - 33.1,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,Apr 23 - May 5,30.6,25.6,35.8,25.6 - 35.8,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,Apr 23 - May 5,28.5,25.4,31.8,25.4 - 31.8,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,Apr 23 - May 5,30.6,27.7,33.7,27.7 - 33.7,30.4 - 31.6
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,Apr 23 - May 5,28.8,24,33.9,24.0 - 33.9,27.9 - 30.3
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,Apr 23 - May 5,27.1,24.1,30.2,24.1 - 30.2,21.7 - 27.8
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,Apr 23 - May 5,24.9,21,29.2,21.0 - 29.2,21.7 - 27.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,Apr 23 - May 5,30.3,24.8,36.2,24.8 - 36.2,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,Apr 23 - May 5,31.5,28.8,34.4,28.8 - 34.4,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1,Apr 23 - May 5,36.4,32.3,40.7,32.3 - 40.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1,Apr 23 - May 5,38,33.1,43.1,33.1 - 43.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1,Apr 23 - May 5,37.4,34.2,40.6,34.2 - 40.6,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1,Apr 23 - May 5,35.9,32.3,39.7,32.3 - 39.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1,Apr 23 - May 5,40.2,35.3,45.3,35.3 - 45.3,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1,Apr 23 - May 5,34.7,30.4,39.3,30.4 - 39.3,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1,Apr 23 - May 5,37.6,34.1,41.3,34.1 - 41.3,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1,Apr 23 - May 5,36.8,33.9,39.8,33.9 - 39.8,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,Apr 23 - May 5,36.2,31.8,40.7,31.8 - 40.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,Apr 23 - May 5,37,31.4,42.9,31.4 - 42.9,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,Apr 23 - May 5,33.3,29.9,36.8,29.9 - 36.8,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1,Apr 23 - May 5,36.6,32.7,40.7,32.7 - 40.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1,Apr 23 - May 5,37.8,33.5,42.4,33.5 - 42.4,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1,Apr 23 - May 5,28.2,24.6,32.1,24.6 - 32.1,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1,Apr 23 - May 5,32.5,28.4,36.9,28.4 - 36.9,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1,Apr 23 - May 5,36.4,32.5,40.4,32.5 - 40.4,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1,Apr 23 - May 5,38.9,34.3,43.7,34.3 - 43.7,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1,Apr 23 - May 5,34.3,30.6,38.1,30.6 - 38.1,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,1,Apr 23 - May 5,32.9,29.3,36.6,29.3 - 36.6,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,1,Apr 23 - May 5,40.6,36.9,44.4,36.9 - 44.4,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,1,Apr 23 - May 5,39.4,35.8,43.1,35.8 - 43.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,1,Apr 23 - May 5,32.4,29.1,35.9,29.1 - 35.9,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,1,Apr 23 - May 5,34.5,28.8,40.5,28.8 - 40.5,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,Apr 23 - May 5,35.2,30.2,40.4,30.2 - 40.4,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,Apr 23 - May 5,27.3,23.5,31.4,23.5 - 31.4,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,1,Apr 23 - May 5,28.6,24.9,32.7,24.9 - 32.7,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,1,Apr 23 - May 5,34.8,30.4,39.4,30.4 - 39.4,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,1,Apr 23 - May 5,34.8,30.6,39.2,30.6 - 39.2,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,1,Apr 23 - May 5,37.6,34.2,41.1,34.2 - 41.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,1,Apr 23 - May 5,34.6,29.9,39.7,29.9 - 39.7,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,Apr 23 - May 5,41.4,36.7,46.1,36.7 - 46.1,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,1,Apr 23 - May 5,34.6,29.4,40.1,29.4 - 40.1,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,1,Apr 23 - May 5,27.7,23.8,31.9,23.8 - 31.9,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,1,Apr 23 - May 5,35.1,31.7,38.7,31.7 - 38.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,1,Apr 23 - May 5,34.1,29.6,38.8,29.6 - 38.8,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,1,Apr 23 - May 5,36.8,33.2,40.6,33.2 - 40.6,36.8 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,Apr 23 - May 5,35.1,31.7,38.7,31.7 - 38.7,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,1,Apr 23 - May 5,34.4,29.9,39.1,29.9 - 39.1,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,1,Apr 23 - May 5,33.3,29.4,37.4,29.4 - 37.4,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,1,Apr 23 - May 5,25.6,20.5,31.1,20.5 - 31.1,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,1,Apr 23 - May 5,33.4,28,39.3,28.0 - 39.3,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,1,Apr 23 - May 5,34.9,30.8,39.2,30.8 - 39.2,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,1,Apr 23 - May 5,34.7,31.1,38.4,31.1 - 38.4,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,1,Apr 23 - May 5,33.9,28.5,39.6,28.5 - 39.6,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,1,Apr 23 - May 5,33.7,30.3,37.2,30.3 - 37.2,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,1,Apr 23 - May 5,35,32.2,37.8,32.2 - 37.8,34.8 - 36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,1,Apr 23 - May 5,34.3,29.5,39.3,29.5 - 39.3,33.4 - 34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,1,Apr 23 - May 5,31.1,28.1,34.3,28.1 - 34.3,25.6 - 33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,1,Apr 23 - May 5,31,26.4,35.8,26.4 - 35.8,25.6 - 33.3
Symptoms of Depressive Disorder,By State,Alabama,Alabama,2,May 7 - May 12,22.5,16.4,29.5,16.4 - 29.5,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Alaska,Alaska,2,May 7 - May 12,25.1,20.3,30.4,20.3 - 30.4,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Arizona,Arizona,2,May 7 - May 12,25.3,19.7,31.7,19.7 - 31.7,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2,May 7 - May 12,24.5,19.2,30.5,19.2 - 30.5,23.1 - 25.6
Symptoms of Depressive Disorder,By State,California,California,2,May 7 - May 12,22.8,19.2,26.8,19.2 - 26.8,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Colorado,Colorado,2,May 7 - May 12,23.6,17.8,30.2,17.8 - 30.2,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2,May 7 - May 12,21.5,16.2,27.6,16.2 - 27.6,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Delaware,Delaware,2,May 7 - May 12,23.3,18.3,28.9,18.3 - 28.9,23.1 - 25.6
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2,May 7 - May 12,30.3,22.8,38.6,22.8 - 38.6,25.7 - 35.5
Symptoms of Depressive Disorder,By State,Florida,Florida,2,May 7 - May 12,24.8,20,30,20.0 - 30.0,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Georgia,Georgia,2,May 7 - May 12,25.6,20.7,30.9,20.7 - 30.9,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2,May 7 - May 12,16.8,12.1,22.4,12.1 - 22.4,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Idaho,Idaho,2,May 7 - May 12,17,13.2,21.5,13.2 - 21.5,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Illinois,Illinois,2,May 7 - May 12,29.2,25.2,33.5,25.2 - 33.5,25.7 - 35.5
Symptoms of Depressive Disorder,By State,Indiana,Indiana,2,May 7 - May 12,19.9,14.8,25.8,14.8 - 25.8,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Iowa,Iowa,2,May 7 - May 12,18.1,12.9,24.2,12.9 - 24.2,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Kansas,Kansas,2,May 7 - May 12,16.7,12.8,21.2,12.8 - 21.2,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2,May 7 - May 12,25.6,19.8,32.2,19.8 - 32.2,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2,May 7 - May 12,30,23.2,37.5,23.2 - 37.5,25.7 - 35.5
Symptoms of Depressive Disorder,By State,Maine,Maine,2,May 7 - May 12,17.1,12.2,23,12.2 - 23.0,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Maryland,Maryland,2,May 7 - May 12,24.6,18.3,31.8,18.3 - 31.8,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2,May 7 - May 12,18.9,15.2,23,15.2 - 23.0,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Michigan,Michigan,2,May 7 - May 12,23.4,18.8,28.4,18.8 - 28.4,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2,May 7 - May 12,18.4,13.8,23.9,13.8 - 23.9,16.7 - 20.6
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2,May 7 - May 12,35.5,27.5,44.1,27.5 - 44.1,25.7 - 35.5
Symptoms of Depressive Disorder,By State,Missouri,Missouri,2,May 7 - May 12,24.1,18.5,30.5,18.5 - 30.5,23.1 - 25.6
Symptoms of Depressive Disorder,By State,Montana,Montana,2,May 7 - May 12,20.8,14.7,28.2,14.7 - 28.2,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2,May 7 - May 12,21.6,15.4,28.9,15.4 - 28.9,20.7 - 23.0
Symptoms of Depressive Disorder,By State,Nevada,Nevada,2,May 7 - May 12,31.2,25.4,37.5,25.4 - 37.5,25.7 - 35.5
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2,May 7 - May 12,23.3,18.2,28.9,18.2 - 28.9,23.1 - 25.6
